Lysidice unicornis
Abra prismatica
Gymnodinium heterostriatum
Rhizosolenia stolterfothii
Trochammina inflata
Centropages chierchiae
Tryphosella sarsi
Schistomeringos neglecta
Dinophysis punctata
Ptilothamnion sphaericum
Leucocryptos marina
Hyperammina laevigata
Hoeglundina elegans
Hemidinium nasutum
Plocamium lyngbyanum
Patinella verrucaria
Pseudocythere caudata
Hildenbrandia rubra
Chone fauveli
Protoperidinium cerasus
Microphthalmus similis
Munna kroyeri
Osmundea osmunda
Dasya hutchinsiae
Enchelyopus cimbrius
Temora longicornis
Anoplodactylus petiolatus
Syllis armillaris
Magelona alleni
Arctica islandica
Inachus phalangium
Euclymene oerstedii
Arnoglossus imperialis
Chelidonichthys lastoviza
Edwardsia timida
Escharoides coccinea
Sipunculus (Sipunculus) nudus
Eutrigla gurnardus
Trisopterus minutus
Asterias rubens
Alcyonium digitatum
Pennatula phosphorea
Fucus serratus
Jasmineira elegans
Pseudocalanus minutus
Pareucalanus sewelli
Asperococcus fistulosus
Corystes cassivelaunus
Bela nebula
Thorogobius ephippiatus
Dolioletta tritonis
Lytocarpia myriophyllum
Chamelea striatula
Eulima bilineata
Reophax micaceus
Rhodine gracilior
Scoletoma tetraura
Lovenella clausa
Penilia avirostris
Nitzschia frigida
Tharyx killariensis
Merluccius merluccius
Calocaris macandreae
Notomastus latericeus
Thunnus alalunga
Novocrania anomala
Spirobranchus triqueter
Thyasira flexuosa
Animoceradocus semiserratus
Alpheus glaber
Phaeostachys spinifera
Ditrichocorycaeus anglicus
Glossobalanus marginatus
Heteromysis (Heteromysis) formosa
Ondina divisa
Tripos carriensis
Tharyx robustus
Illex illecebrosus
Spongoclonium caribaeum
Guttigadus latifrons
Ceratium tripos
Lithothamnion sonderi
Macropipus tuberculatus
Palinurus elephas
Chondria capillaris
Phialella quadrata
Stolonica socialis
Hymeniacidon simplicima
Apolemia uvaria
Obelia bidentata
Phorbas plumosus
Paradoneis lyra
Poecilochaetus serpens
Mesacmaea mitchellii
Coccotylus truncatus
Protodinium simplex
Laonice bahusiensis
Littorina saxatilis
Lyonsia norwegica
Aonides paucibranchiata
Saccharina latissima
Munida rugosa
Chaetoceros ceratosporum
Ditylum brightwellii
Echinus esculentus
Gammarus setosus
Nephrops norvegicus
Polyclinum aurantium
Leptocheirus pilosus
Tetrarca tetragona
Gasterosteus aculeatus
Palliolum striatum
Litosiphon laminariae
Campylaspis legendrei
Lychaete battersii
Lenticulina gibba
Protoperidinium pentagonum
Anthopleura thallia
Talitrus saltator
Hydrobia acuta
Lamprothamnium papulosum
Gonothyraea loveni
Harmothoe imbricata
Codium fragile
Lauderia annulata
Navicula membranacea
Rhabdonellopsis apophysata
Rectuvigerina elongatastriata
Kofoidinium velleloides
Arnoglossus thori
Nitzschia pseudodelicatissima
Protoperidinium quarnerense
Rhabdamminella cylindrica
Eutintinnus latus
Thalassiosira rotula
Hyalinonetrion gracillimum
Fritillaria borealis
Navicula planamembranacea
Chaetoceros costatus
Tripos buceros
Euchaeta marina
Dimophyes arctica
Phalacroma doryphorum
Paraeuchaeta norvegica
Metridia longa
Nitzschia mediterranea
Steenstrupiella steenstrupii
Robertinoides bradyi
Globigerinita uvula
Trifarina angulosa
Protoperidinium pellucidum
Bolivina spathulata
Tripos karstenii
Lingulodinium polyedra
Hemiaulus hauckii
Hemidiscus cuneiformis
Scopelogadus mizolepis
Neognathophausia gigas
Pleurosigma angulatum
Tintinnopsis campanula
Phalacroma circumcinctum
Globigerinoides tenellus
Protoperidinium ovatum
Turborotalita quinqueloba
Globoconella inflata
Rhaphoneis amphiceros
